destination_id,name,description,url,price,image[0].url,image[0].tag,address.city,address.region,address.country,neighborhood,types,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_number_0,product_tags
416,Eenoudervakantie Burgh-Haamstede,"Vier vakantie in Zeeland met je kinderen in Burgh-Haamstede. Geniet van strand, duinen, activiteiten en gezelligheid met eenoudergezinnen.",https://www.estivant.nl/eenoudervakanties/nederland/burgh-haamstede/,199.00 EUR,"https://www.estivant.nl/media/torplnb1/carindeben-estivantzomer2026_374.jpg?rxy=0.3508771929824561,0.4849624060150376&width=1440&height=775&v=1dd444df8c7d800",Watersport,Burgh-Haamstede,Nederland,Nederland,Burgh-Haamstede,"Watersport,Eenoudervakantie",Eenoudervakantie,Watersport,Zomervakantie,Nederland,199,"Strand,Actief,Watersport,Kamperen,Zomervakantie,tot-200-km,Camping,8-11 jaar,12-14 jaar,Nederland,Eenoudervakantie"
417,Eenoudervakantie Kuierpad,Vier vakantie met andere eenoudergezinnen op het Kuierpad in Drenthe. Populaire camping met binnen- en buitenzwembad en zwemvijver. Bekijk deze eenoudervakantie!,https://www.estivant.nl/eenoudervakanties/nederland/kuierpad/,99.00 EUR,"https://www.estivant.nl/media/w3pjd5xk/drenthe1-1.jpg?rxy=0.6641604010025063,0.5626323186678289&width=1440&height=775&v=1dc9513161f2790",Ontspanning,Kuierpad,Nederland,Nederland,Kuierpad,"Ontspanning,Eenoudervakantie",Eenoudervakantie,Ontspanning,Meivakantie,Nederland,99,"Ontspanning,Meivakantie,Hemelvaart,Pinksteren,Zomervakantie,tot-200-km,Camping,Kamperen,4-7 jaar,8-11 jaar,12-14 jaar,Nederland,Eenoudervakantie"
363,Eenoudervakantie Flachau,"Ga met je kinderen op wintersport in Flachau. Geniet van skiën, sneeuwpret en gezellige momenten met andere eenoudergezinnen. Boek deze voorjaarsvakantie!",https://www.estivant.nl/eenoudervakanties/oostenrijk/flachau/,1197.00 EUR,https://www.estivant.nl/media/ms2fmlcn/4-estivant-eenoudervakantie-oostenrijk-flachau-wintersport-groep-kinderen-kikkerperspectief-2025.jpg?width=1440&height=775&v=1dcf3637ed9ff40,Wintersport,Flachau,Oostenrijk,Oostenrijk,Flachau,"Wintersport,Eenoudervakantie",Eenoudervakantie,Wintersport,Wintersport,Oostenrijk,1197,"Actief,Wintersport,Voorjaarsvakantie,500 tot 1000 km,Vakantiehuis,8-11 jaar,12-14 jaar,15 plus,Oostenrijk,Eenoudervakantie"
360,Eenoudervakantie Jenig-Nassfeld,Ga op wintersport met andere eenoudergezinnen in Jenig-Nassfeld. Hotel exclusief voor Estivant-gasten. Bekijk deze voorjaarsvakantie!,https://www.estivant.nl/eenoudervakanties/oostenrijk/jenig/,897.00 EUR,"https://www.estivant.nl/media/xb1ijx3v/13-estivant-wintersport-eenouder-vakanties-jenig-oostenrijk-2023-voorjaarsvakantie-13.jpg?rxy=0.5,0.7034252297410192&width=1440&height=775&v=1dcf29460e0d060",Wintersport,Jenig-Nassfeld,Oostenrijk,Oostenrijk,Jenig-Nassfeld,"Wintersport,Eenoudervakantie",Eenoudervakantie,Wintersport,Wintersport,Oostenrijk,897,"Actief,Wintersport,Voorjaarsvakantie,1000 plus km,Hotel,4-7 jaar,8-11 jaar,12-14 jaar,15 plus,Oostenrijk,Eenoudervakantie"
359,Eenoudervakantie Maria Alm,Ga op wintersport met andere eenoudergezinnen in Maria Alm. Hotel exclusief voor Estivant-gasten in het skigebied Hochkönig. Bekijk deze eenoudervakantie!,https://www.estivant.nl/eenoudervakanties/oostenrijk/maria-alm/,1299.00 EUR,https://www.estivant.nl/media/x5qlx0qk/dsc04310-edit-edit-1.jpg?width=1440&height=775&v=1dcf3371de99370,Wintersport,Maria Alm,Oostenrijk,Oostenrijk,Maria Alm,"Wintersport,Eenoudervakantie",Eenoudervakantie,Wintersport,Wintersport,Oostenrijk,1299,"Actief,Wintersport,Voorjaarsvakantie,500 tot 1000 km,Hotel,4-7 jaar,8-11 jaar,12-14 jaar,15 plus,Oostenrijk,Eenoudervakantie"
361,Eenoudervakantie Mittersill,Ga op wintersport met andere eenoudergezinnen in Mittersill. Leuk voor jong & oud: het populaire gebied Kitzbühel-Kirchberg. Bekijk deze voorjaarsvakantie!,https://www.estivant.nl/eenoudervakanties/oostenrijk/mittersill/,1147.00 EUR,"https://www.estivant.nl/media/jm3mumyl/140-carindeben-photography_139.jpg?rxy=0.5150375939849624,0.38721804511278196&width=1440&height=775&v=1dd2e4c99d75080",Wintersport,Mittersill,Oostenrijk,Oostenrijk,Mittersill,"Wintersport,Eenoudervakantie",Eenoudervakantie,Wintersport,Wintersport,Oostenrijk,1147,"Actief,Wintersport,Voorjaarsvakantie,500 tot 1000 km,Hotel,4-7 jaar,8-11 jaar,12-14 jaar,15 plus,Oostenrijk,Eenoudervakantie"
366,Eenoudervakantie Niederau Winter,Ga met je kind(eren) op wintersport in Niederau. Ontdek het skigebied in Tirol en geniet van sneeuwpret met andere eenoudergezinnen. In de kerst- en voorjaarsvakantie!,https://www.estivant.nl/eenoudervakanties/oostenrijk/niederau/,1097.00 EUR,"https://www.estivant.nl/media/2dgepcnb/337-carindeben-photography_336.jpg?rxy=0.5288220551378446,0.3684210526315789&width=1440&height=775&v=1dcf7fb43989f80",Wintersport,Niederau,Oostenrijk,Oostenrijk,Niederau,"Wintersport,Eenoudervakantie",Eenoudervakantie,Wintersport,Wintersport,Oostenrijk,1097,"Actief,Wintersport,Kerstvakantie,500 tot 1000 km,Hotel,4-7 jaar,8-11 jaar,12-14 jaar,15 plus,Voorjaarsvakantie,Oostenrijk,Eenoudervakantie"
419,Eenoudervakantie Scheffau,"Ga samen met je kinderen op wintersport in Scheffau bij Wilder Kaiser. Geniet van sneeuw, activiteiten en gezelligheid met eenoudergezinnen.",https://www.estivant.nl/eenoudervakanties/oostenrijk/scheffau/,997.00 EUR,https://www.estivant.nl/media/jnmehtg5/dsc07252-2.jpg?width=1440&height=775&v=1dcf811a4cd6950,Wintersport,Scheffau,Oostenrijk,Oostenrijk,Scheffau,"Wintersport,Eenoudervakantie",Eenoudervakantie,Wintersport,Wintersport,Oostenrijk,997,"Actief,Wintersport,Voorjaarsvakantie,500 tot 1000 km,Vakantiehuis,4-7 jaar,8-11 jaar,12-14 jaar,15 plus,Oostenrijk,Eenoudervakantie"
418,Eenoudervakantie Wildschönau,"Ontdek het Oostenrijkse Wildschönau in de zomer met je kinderen. Geniet van frisse berglucht, buitenactiviteiten en gezelligheid met andere eenoudergezinnen.",https://www.estivant.nl/eenoudervakanties/oostenrijk/wildschonau/,662.00 EUR,"https://www.estivant.nl/media/ul3hw432/istock-1424973892.jpg?rxy=0.4949874686716792,0.35509628933771725&width=1440&height=775&v=1dd45267a6a17f0",Actief,Wildschönau,Oostenrijk,Oostenrijk,Wildschönau,"Actief,Eenoudervakantie",Eenoudervakantie,Actief,Zomervakantie,Oostenrijk,662,"Actief,Cultuur,Zomervakantie,500 tot 1000 km,Hotel,8-11 jaar,12-14 jaar,Oostenrijk,Eenoudervakantie"
391,Eenoudervakantie Cambrils,"Vier vakantie met andere eenoudergezinnen in Cambrils. Camping aan zee met een groot zwemparadijs, disco en bioscoop. Bekijk deze eenoudervakantie!",https://www.estivant.nl/eenoudervakanties/spanje/cambrils/,298.00 EUR,"https://www.estivant.nl/media/44wpbxwo/estivant-eenouder-vakantie-reizen-spanje-cambrils-zomer-torre-del-sol-strand-boulevard-luchtfoto-1.jpg?rxy=0.5,0.6437077566784679&width=1440&height=775&v=1dd4512e2f9c310",Strand,Cambrils,Spanje,Spanje,Cambrils,"Strand,Eenoudervakantie",Eenoudervakantie,Strand,Zomervakantie,Spanje,298,"Strand,Ontspanning,Kamperen,Zomervakantie,1000 plus km,Camping,12-14 jaar,15 plus,Spanje,Eenoudervakantie"
